^FINANCIAL,04/27/2020,1189.37,1190.17,1162.61,1162.61,764277,-466849
AUB,04/27/2020,48,48,48,48,7000,331200
BDO,04/27/2020,100,100.1,97,97,3406510,-185558718
BPI,04/27/2020,59.5,59.6,58.35,58.95,3581770,-158490508
CHIB,04/27/2020,19.84,19.86,19.78,19.8,105000,-1655062
EW,04/27/2020,7.85,7.9,7.65,7.68,208200,-201833
MBT,04/27/2020,38.8,38.9,37.5,37.5,4453500,-102877290
PBB,04/27/2020,8.52,8.52,8.5,8.5,7200,0
PBC,04/27/2020,17.9,18,17.9,18,2700,48570
PNB,04/27/2020,23.4,23.5,22.6,22.75,179800,-1834910
PSB,04/27/2020,41,41,40.1,40.1,8200,0
RCB,04/27/2020,17.52,17.52,17.5,17.5,24200,0
SECB,04/27/2020,103.4,103.5,100.5,100.5,417770,-15911289
UBP,04/27/2020,54.75,54.8,52,54.4,15940,-749261
BKR,04/27/2020,0.63,0.87,0.63,0.87,10000,0
COL,04/27/2020,16,16,15.5,15.8,16500,0
FERRO,04/27/2020,2.83,2.98,2.72,2.97,36000,0
I,04/27/2020,0.91,0.91,0.91,0.91,6000,0
MED,04/27/2020,0.29,0.29,0.29,0.29,10000,0
MFC,04/27/2020,639,639,620,620,70,0
PSE,04/27/2020,165,166.9,165,166,850,49500
SLF,04/27/2020,1510,1510,1510,1510,30,0
V,04/27/2020,1.09,1.09,1.09,1.09,10000,0
^INDUSTRIAL,04/27/2020,7205.06,7249.67,7145.86,7249.67,798494,-57832
ACEN,04/27/2020,2.31,2.35,2.26,2.33,4759000,544629
ACR,04/27/2020,1.04,1.04,0.92,0.92,8000,0
AP,04/27/2020,26.55,27.2,26.05,27.2,512200,-2878075
BSC,04/27/2020,0.18,0.18,0.18,0.18,100000,0
FGEN,04/27/2020,18.5,18.6,18.2,18.58,569500,-2335128
FPH,04/27/2020,55.5,55.5,55,55,14170,-719892
MER,04/27/2020,255,255,251.2,252,214730,-24858036
MWC,04/27/2020,10.7,10.7,10.48,10.56,1386700,-3969024
PCOR,04/27/2020,3.15,3.15,3.1,3.15,880000,-337120
PERC,04/27/2020,2.5,2.5,2.4,2.4,27000,2400
PNX,04/27/2020,11.38,11.38,11.1,11.36,403500,0
SHLPH,04/27/2020,18.3,18.5,18.12,18.48,414700,1227576
SPC,04/27/2020,7.8,7.94,7.8,7.94,17200,-8720
ANI,04/27/2020,8.42,8.96,8.42,8.61,2314400,-507230
AXLM,04/27/2020,2.9,3.04,2.82,2.92,10113000,-1105880
CAT,04/27/2020,13.8,13.8,13.8,13.8,1000,0
CNPF,04/27/2020,14.08,14.34,14,14,485600,-727808
DELM,04/27/2020,3.65,3.75,3.65,3.65,20000,-58400
DNL,04/27/2020,5.45,5.55,5.1,5.26,4145100,-4792524
EMP,04/27/2020,7.9,7.98,7.74,7.88,1938600,-3940050
