Date,Stock,Price,Action
2006-09-11,JFC,33.0,BUY
2006-09-19,JFC,35.5,SELL
2007-02-14,JFC,44.5,BUY
2007-03-20,JFC,52.5,SELL
2007-04-19,JFC,55.0,BUY
2007-04-27,JFC,52.0,SELL
2007-04-30,JFC,49.5,BUY
2007-05-18,JFC,53.0,SELL
2007-06-08,JFC,53.0,BUY
2007-07-10,JFC,56.5,SELL
2007-07-19,JFC,52.5,BUY
2007-07-27,JFC,46.5,SELL
2007-07-30,JFC,48.0,BUY
2007-08-10,JFC,53.0,SELL
2007-09-19,JFC,52.0,BUY
2007-11-08,JFC,49.0,SELL
2007-11-09,JFC,48.5,BUY
2007-11-13,JFC,46.0,SELL
2007-12-12,JFC,49.5,BUY
2008-01-07,JFC,46.0,SELL
2008-01-11,JFC,49.5,BUY
2008-01-17,JFC,45.5,SELL
2008-01-21,JFC,43.5,BUY
2008-01-23,JFC,46.5,SELL
2008-02-28,JFC,48.0,BUY
2008-03-10,JFC,44.5,SELL
2008-03-12,JFC,46.5,BUY
2008-04-28,JFC,44.5,SELL
2008-04-30,JFC,44.0,BUY
2008-06-10,JFC,39.5,SELL
2008-06-11,JFC,38.0,BUY
2008-06-23,JFC,33.0,SELL
2008-06-24,JFC,33.5,BUY
2008-08-07,JFC,36.5,SELL
2008-10-17,JFC,37.5,BUY
2008-11-04,JFC,46.5,SELL
2008-11-18,JFC,37.5,BUY
2008-11-21,JFC,33.5,SELL
2008-11-25,JFC,38.0,BUY
2008-12-18,JFC,45.0,SELL
2008-12-23,JFC,42.0,BUY
2009-01-30,JFC,39.5,SELL
2009-02-02,JFC,40.0,BUY
2009-03-17,JFC,42.5,SELL
2009-04-01,JFC,44.5,BUY
2009-05-20,JFC,47.5,SELL
2009-06-22,JFC,47.0,BUY
2009-07-23,JFC,50.0,SELL
2009-09-01,JFC,51.0,BUY
2009-10-16,JFC,52.0,SELL
2009-11-04,JFC,49.5,BUY
2009-11-13,JFC,52.5,SELL
2009-12-09,JFC,52.0,BUY
2009-12-17,JFC,55.0,SELL
2010-01-27,JFC,55.0,BUY
2010-02-01,JFC,52.0,SELL
2010-02-02,JFC,52.5,BUY
2010-03-10,JFC,58.0,SELL
2010-04-08,JFC,59.0,BUY
2010-04-28,JFC,55.5,SELL
2010-04-29,JFC,57.0,BUY
2010-05-19,JFC,60.0,SELL
2010-05-27,JFC,59.0,BUY
2010-06-17,JFC,65.0,SELL
2010-08-18,JFC,80.8,BUY
2010-09-06,JFC,85.4,SELL
2010-09-17,JFC,86.8,BUY
2010-10-01,JFC,91.5,SELL
2010-10-12,JFC,86.35,BUY
2010-10-19,JFC,92.6,SELL
2010-10-20,JFC,93.1,BUY
2010-11-17,JFC,88.0,SELL
2010-11-18,JFC,87.0,BUY
2010-11-26,JFC,81.5,SELL
2010-11-30,JFC,78.0,BUY
2010-12-13,JFC,89.7,SELL
2010-12-22,JFC,87.15,BUY
2011-01-18,JFC,82.5,SELL
2011-01-19,JFC,82.75,BUY
2011-01-24,JFC,77.9,SELL
2011-01-25,JFC,79.0,BUY
2011-01-31,JFC,75.0,SELL
2011-02-01,JFC,71.0,BUY
2011-02-17,JFC,80.0,SELL
2011-02-28,JFC,68.05,BUY
2011-03-08,JFC,79.8,SELL
2011-05-04,JFC,94.45,BUY
2011-05-17,JFC,86.1,SELL
2011-05-18,JFC,86.0,BUY
2011-07-04,JFC,91.95,SELL
2011-07-11,JFC,88.55,BUY
2011-08-09,JFC,82.6,SELL
2011-08-11,JFC,85.0,BUY
2011-09-28,JFC,84.0,SELL
2011-09-29,JFC,81.95,BUY
2011-10-11,JFC,88.0,SELL
2011-11-18,JFC,88.6,BUY
2012-01-05,JFC,93.7,SELL
2012-01-16,JFC,89.2,BUY
2012-01-30,JFC,95.8,SELL
2012-02-20,JFC,101.0,BUY
2012-03-14,JFC,106.5,SELL
