^FINANCIAL,06/03/2020,1214.22,1266.1,1214.22,1266.1,1628509,110447
AUB,06/03/2020,45.5,47,45.3,47,11100,94000
BDO,06/03/2020,98.25,102.7,98.25,102.4,3556390,80163835
BPI,06/03/2020,68.85,72,67.95,72,2732170,105293659
CHIB,06/03/2020,19.38,19.78,19.38,19.78,303400,-3936
CSB,06/03/2020,8.44,8.44,8.44,8.44,300,0
EW,06/03/2020,6.65,7.2,6.64,7.19,4629100,-6197772
MBT,06/03/2020,38.35,39.4,38.15,39.4,5675600,108053530
PNB,06/03/2020,21.3,22.8,21.3,22.8,464300,-3243055
PSB,06/03/2020,44,44.25,44,44.25,3300,0
RCB,06/03/2020,16.5,21.85,16.5,20.7,18200500,-294014730
SECB,06/03/2020,97.6,103.5,97.6,102,4517550,120580746
UBP,06/03/2020,53.7,54.15,53.7,53.8,15530,-278846
BKR,06/03/2020,0.68,0.68,0.68,0.68,15000,0
COL,06/03/2020,16,16.4,16,16.4,1100,0
FAF,06/03/2020,0.465,0.57,0.465,0.57,14000,0
FERRO,06/03/2020,2.35,2.35,2.35,2.35,4000,0
I,06/03/2020,0.95,1.03,0.95,1.03,12000,0
MED,06/03/2020,0.29,0.31,0.285,0.31,220000,0
NRCP,06/03/2020,0.6,0.64,0.6,0.64,9000,0
PSE,06/03/2020,172.9,172.9,163.8,172.5,530,0
^INDUSTRIAL,06/03/2020,7599.87,7778.97,7599.87,7715.78,1193904,5053
ACEPH,06/03/2020,2.21,2.27,2.21,2.27,3968000,229500
ACR,06/03/2020,0.92,0.92,0.91,0.92,59000,0
AP,06/03/2020,29.45,30,28.6,30,2171500,16091450
BSC,06/03/2020,0.161,0.166,0.16,0.164,730000,0
FGEN,06/03/2020,20.65,20.7,20.55,20.65,1001400,-10319025
FPH,06/03/2020,57.6,58.25,57.5,58.1,175690,-8648638
MER,06/03/2020,289,293.2,285,292,320500,-20897882
MWC,06/03/2020,11.88,12.26,11.88,12.18,4993500,-14820708
PCOR,06/03/2020,3.05,3.06,3,3.01,3330000,1653860
PERC,06/03/2020,2.46,2.48,2.45,2.48,81000,0
PNX,06/03/2020,11.38,11.38,11.04,11.38,21100,0
SHLPH,06/03/2020,18.1,18.32,18.1,18.12,420100,-3395892
SPC,06/03/2020,8.05,8.2,8.03,8.1,166700,5682
ANI,06/03/2020,7.28,7.67,7.28,7.55,781300,2373
AXLM,06/03/2020,2.7,2.74,2.66,2.74,853000,56770
BMM,06/03/2020,84.85,84.85,84.85,84.85,1020,0
CAT,06/03/2020,13.1,13.1,12.5,12.98,3000,0
CNPF,06/03/2020,15.2,15.3,15.2,15.28,700300,2505182
DELM,06/03/2020,4.5,4.5,4.4,4.45,28000,-9000
DNL,06/03/2020,5.05,5.24,5.05,5.22,3277600,4523170
EMP,06/03/2020,7.85,7.85,7.69,7.85,660500,-2950924
FB,06/03/2020,64.65,67.7,64.65,67.7,111660,1489562
FOOD,06/03/2020,0.54,0.55,0.54,0.55,414000,0
FRUIT,06/03/2020,1.32,1.34,1.3,1.34,7838000,-101930
GSMI,06/03/2020,31.7,32.4,31.2,31.75,37000,463050
JFC,06/03/2020,125.7,131.8,125.7,130,2829760,65278973
MACAY,06/03/2020,6.78,6.78,6.34,6.75,3400,0
MAXS,06/03/2020,5.9,6.18,5.9,6.17,2170300,-820126
MG,06/03/2020,0.147,0.147,0.147,0.147,10000,0
PIP,06/03/2020,1.9,1.91,1.8,1.91,616000,147830
PIZZA,06/03/2020,6.46,6.6,6.33,6.51,1547600,5121739
RCI,06/03/2020,1.84,1.85,1.8,1.8,958000,0
RFM,06/03/2020,4.5,4.5,4.5,4.5,4000,0
ROX,06/03/2020,1.36,1.46,1.36,1.46,15000,0
SFI,06/03/2020,0.105,0.11,0.104,0.11,100000,3130
URC,06/03/2020,129,134,128.1,130,1344960,-21399591
VITA,06/03/2020,0.81,0.86,0.81,0.85,52289000,-17130
VMC,06/03/2020,2.23,2.33,2.22,2.33,7000,11320
CAB,06/03/2020,50.05,50.05,50.05,50.05,10,0
CHP,06/03/2020,1.09,1.13,1.08,1.12,13343000,-1176300
DAVIN,06/03/2020,4.02,4.02,4.01,4.01,105000,0
EAGLE,06/03/2020,8.15,8.3,8.15,8.3,3568600,-6910415
EEI,06/03/2020,4.93,5.35,4.91,5.32,2583000,259530
HLCM,06/03/2020,7.68,7.9,7.65,7.87,918200,0
MWIDE,06/03/2020,5.76,6.41,5.76,6.38,16390800,2262364
PHN,06/03/2020,8.34,8.8,8.34,8.8,2300,0
T,06/03/2020,0.74,0.78,0.72,0.78,310000,0
VUL,06/03/2020,0.62,0.65,0.61,0.64,2361000,26200
CROWN,06/03/2020,1.75,1.77,1.73,1.73,216000,0
EURO,06/03/2020,2.26,2.26,2.19,2.19,1449000,-31439
PPC,06/03/2020,4.33,4.33,4.3,4.3,287000,-1225570
CIC,06/03/2020,24,24,24,24,800,0
GREEN,06/03/2020,1.75,1.75,1.6,1.6,10825000,-917580
IMI,06/03/2020,5.5,5.62,5.45,5.53,727000,-2552594
ION,06/03/2020,1.12,1.12,1.09,1.12,217000,0
SSP,06/03/2020,1.35,1.38,1.27,1.3,2951000,0
